slug	name	package_group	attack_category	packages	description	url
0trace	0trace	information-gathering	发现	0trace,0trace.sh,sendprobe,usleep	Traceroute tool that can run within an existing TCP connection The package is traceroute tool that can be run within an existing, open TCP connection, therefore bypassing some types of stateful packet filters with ease.	https://www.kali.org/tools/0trace/
7zip	7zip	forensics		7zip,7z,7za,7zr,p7zip,7zip-standalone,7zz	7-Zip file archiver with a high compression ratio 7-Zip is a file archiver with a high compression ratio. The main features of 7-Zip are: High compression ratio in 7z format with LZMA and LZMA2 compression Supported formats: Packing / unpacking: 7z, XZ, BZIP2, GZIP, TAR, ZIP and WIM	https://www.kali.org/tools/7zip/
above	above	sniffing-spoofing	发现	above,above	Network security sniffer for finding vulnerabilities in the network This package contains a network security sniffer for finding vulnerabilities in the network, designed for pentesters and security professionals. It is based entirely on network traffic analysis, so it does not make any noise on the air. Above allows pentesters to automate the process of finding vulnerabilities in network hardware. Discovery protocols, dynamic routing,	https://www.kali.org/tools/above/
adaptixc2	adaptixc2	utils	命令与控制	adaptixc2,adaptixclient,adaptixserver	Extensible post-exploitation and adversarial emulation framework Adaptix is an extensible post-exploitation and adversarial emulation framework made for authorized penetration testing. The Adaptix server is written in Golang and to allow operator flexibility.	https://www.kali.org/tools/adaptixc2/
aesfix	aesfix	crypto-stego		aesfix,aesfix	Tool for correcting bit errors in an AES key schedule This program illustrates a technique for correcting bit errors in an AES key schedule. It should be used with the output of the aeskeyfind program. It is limited to AES-128 key schedules, and it can only correct unidirectional 1->0 bit errors. For the most part it has been optimized for readability rather than performance.	https://www.kali.org/tools/aesfix/
aeskeyfind	aeskeyfind	crypto-stego		aeskeyfind,aeskeyfind	Tool for locating AES keys in a captured memory image This program illustrates automatic techniques for locating 128-bit and 256-bit AES keys in a captured memory image. The program uses various algorithms and also performs a simple entropy test to filter out blocks that are not keys. It counts the number of repeated bytes and skips blocks that have too many repeats.	https://www.kali.org/tools/aeskeyfind/
afflib	afflib	forensics	数字取证	afflib-tools,affcat,affcompare,affconvert,affcopy,affcrypto,affdiskprint,affinfo,affix,affrecover,affsegment,affsign,affstats,affuse,affverify,affxml,libafflib-dev,libafflib0t64	Advanced Forensics Format Library (utilities) The Advanced Forensic Format (AFF) is on-disk format for storing computer forensic information. Critical features of AFF include: AFF allows you to store both computer forensic data and associated metadata in one or more files. AFF allows files to be digital signed, to provide for	https://www.kali.org/tools/afflib/
aflplusplus	aflplusplus	vulnerability	资源开发	afl++,afl-addseeds,afl-analyze,afl-c++,afl-cc,afl-clang,afl-clang++,afl-clang-fast,afl-clang-fast++,afl-clang-lto,afl-clang-lto++,afl-cmin,afl-cmin.awk,afl-cmin.bash,afl-cmin.py,afl-fuzz,afl-g++,afl-g++-fast,afl-gcc,afl-gcc-fast,afl-gotcpu,afl-health,afl-ld-lto,afl-lto,afl-lto++,afl-network-client,afl-network-server,afl-persistent-config,afl-plot,afl-showmap,afl-system-config,afl-tmin,afl-whatsup,afl++-doc	Instrumentation-driven fuzzer for binary formats American fuzzy lop is a fuzzer that employs compile-time instrumentation and genetic algorithms to automatically discover clean, interesting test cases that trigger new internal states in the targeted binary. This substantially improves the functional coverage for the fuzzed code. The compact synthesized corpora produced by the tool are also useful for seeding other, more labor- or	https://www.kali.org/tools/aflplusplus/
aircrack-ng	aircrack-ng	wireless	凭据访问	aircrack-ng,airbase-ng,aircrack-ng,airdecap-ng,airdecloak-ng,aireplay-ng,airmon-ng,airodump-ng,airodump-ng-oui-update,airolib-ng,airserv-ng,airtun-ng,airventriloquist-ng,besside-ng,besside-ng-crawler,buddy-ng,dcrack,easside-ng,ivstools,kstats,makeivs-ng,packetforge-ng,tkiptun-ng,wesside-ng,wpaclean,airgraph-ng,airgraph-ng,airodump-join	Wireless WEP/WPA cracking utilities aircrack-ng is an 802.11a/b/g WEP/WPA cracking program that can recover a 40-bit, 104-bit, 256-bit or 512-bit WEP key once enough encrypted packets have been gathered. Also it can attack WPA1/2 networks with some advanced methods or simply by brute force. It implements the standard FMS attack along with some optimizations,	https://www.kali.org/tools/aircrack-ng/
airgeddon	airgeddon	wireless	凭据访问	airgeddon,airgeddon	Multi-use bash script for Linux systems to audit wireless networks airgeddon is a menu driven 3rd party tools wrapper to audit wireless networks with many features.	https://www.kali.org/tools/airgeddon/
altdns	altdns	utils		altdns,altdns	Subdomain discovery through alterations and permutations This package contains a DNS recon tool that allows for the discovery of subdomains that conform to patterns. Altdns takes in words that could be present in subdomains under a domain (such as test, dev, staging) as well as takes in a list of subdomains that you know of. From these two lists that are provided as input to altdns, the tool then	https://www.kali.org/tools/altdns/
amap	amap	utils		amap,amap,amap,amap6,amapcrap	Next-generation scanning tool for pentesters AMAP stands for Application MAPper. It is a next-generation scanning tool for pentesters. It attempts to identify applications even if they are running on a different port than normal. It also identifies non-ascii based applications. This is achieved by sending trigger packets, and looking up the responses in a list of	https://www.kali.org/tools/amap/
amass	amass	identify	侦察	amass,amass	In-depth DNS Enumeration and Network Mapping This package contains a tool to help information security professionals perform network mapping of attack surfaces and perform external asset discovery using open source information gathering and active reconnaissance techniques. Information Gathering Techniques Used:	https://www.kali.org/tools/amass/
android-sdk-meta	android-sdk-meta	utils		android-sdk,android-sdk-build-tools,android-sdk-build-tools-common,android-sdk-common,android-sdk-platform-tools,android-sdk-platform-tools-common	Software development kit for Android platform The Android SDK includes a variety of tools that help you develop mobile applications for the Android platform. The tools are classified into 3 groups: SDK Tools, Platform-tools and Build-tools. SDK Tools are platform independent and are required no matter which Android platform you are developing on. It is the base toolset of Android SDK.	https://www.kali.org/tools/android-sdk-meta/
apache-users	apache-users	web	发现	apache-users,apache-users	Enumerate usernames on systems with Apache UserDir module This Perl script will enumerate the usernames on any system that uses Apache with the UserDir module.	https://www.kali.org/tools/apache-users/
apache2	apache2	web		apache2,a2disconf,a2dismod,a2dissite,a2enconf,a2enmod,a2ensite,a2query,apache2ctl,apachectl,apache2-bin,apache2,apache2-data,apache2-dev,apxs,apxs2,dh_apache2,apache2-doc,apache2-ssl-dev,apache2-suexec-custom,apache2-suexec-pristine,apache2-utils,ab,check_forensic,checkgid,fcgistarter,htcacheclean,htdbm,htdigest,htpasswd,httxt2dbm,logresolve,rotatelogs,split-logfile	Apache HTTP Server The Apache HTTP Server Project’s goal is to build a secure, efficient and extensible HTTP server as standards-compliant open source software. The result has long been the number one web server on the Internet. Installing this package results in a full installation, including the configuration files, init scripts and support scripts.	https://www.kali.org/tools/apache2/
apktool	apktool	forensics	资源开发	apktool,apktool	Tool for reverse engineering Android apk files A tool for reverse engineering 3rd party, closed, binary Android apps. It can decode resources to nearly original form and rebuild them after making some modifications; it makes possible to debug smali code step by step. Also it makes working with an app easier because of project-like file structure and automation of some repetitive tasks like building apk.	https://www.kali.org/tools/apktool/
apple-bleee	apple-bleee	utils		apple-bleee,apple-bleee	Scripts to show what an attacker get from Apple devices This package contains experimental scripts. They are PoCs that show what an attacker get from Apple devices if they sniff Bluetooth traffic. To use these scripts you will need a Bluetooth adapter for sending BLE messages and Wi-Fi card supporting active monitor mode with frame injection for communication using AWDL (AirDrop).	https://www.kali.org/tools/apple-bleee/
arjun	arjun	utils	侦察	arjun,arjun	HTTP parameter discovery suite This package can find query parameters for URL endpoints. Web applications use parameters (or queries) to accept user input, take the following example into consideration. http://api.example.com/v1/userinfo?id=751634589 This URL seems to load user information for a specific user id, but what if	https://www.kali.org/tools/arjun/
armitage	armitage	exploitation	执行	armitage,armitage,teamserver	Cyber attack management for Metasploit Armitage is a scriptable red team collaboration tool for Metasploit that visualizes targets, recommends exploits, and exposes the advanced post- exploitation features in the framework.	https://www.kali.org/tools/armitage/
arp-scan	arp-scan	utils		arp-scan,arp-fingerprint,arp-scan,get-iab,get-oui	Arp scanning and fingerprinting tool arp-scan is a command-line tool that uses the ARP protocol to discover and fingerprint IP hosts on the local network. It is available for Linux and BSD under the GPL licence	https://www.kali.org/tools/arp-scan/
arping	arping	information-gathering	发现	arping,arping	Sends IP and/or ARP pings (to the MAC address) The arping utility sends ARP and/or ICMP requests to the specified host and displays the replies. The host may be specified by its hostname, its IP address, or its MAC address.	https://www.kali.org/tools/arping/
arpwatch	arpwatch	utils	发现	arpwatch,arp2ethers,arpfetch,arpsnmp,arpwatch,bihourly,massagevendor	Ethernet/FDDI station activity monitor Arpwatch maintains a database of Ethernet MAC addresses seen on the network, with their associated IP pairs. Alerts the system administrator via e-mail if any change happens, such as new station/activity, flip-flops, changed and re-used old addresses. If you want to maintain a list authorized MAC addresses manually, take a look	https://www.kali.org/tools/arpwatch/
arsenal-ng	arsenal-ng	utils	服务与其它工具	arsenal-ng,arsenal-ng	Go-based command library equipped with 200+ cybersecurity cheat-sheets Inspired by arsenal, rewritten from scratch with a focus on simplicity, speed and developer experience. The classic launcher, evolved. Fast, Go-based command library equipped with 200+ cybersecurity cheat-sheets. Just install and start hacking.	https://www.kali.org/tools/arsenal-ng/
asleap	asleap	wireless	侦察	asleap,asleap,genkeys	A tool for exploiting Cisco LEAP networks Demonstrates a serious deficiency in proprietary Cisco LEAP networks.	https://www.kali.org/tools/asleap/
assetfinder	assetfinder	identify	侦察	assetfinder,assetfinder	Find domains and subdomains related to a given domain assetfinder is a command-line tool designed to find domains and subdomains associated with a specific domain. The main objective of the tool is to help security researchers and IT professionals discover and understand how the domains and sub-domains of a given organization are distributed, trying to find possible	https://www.kali.org/tools/assetfinder/
atftp	atftp	utils		atftp,atftp,atftpd,atftpd,in.tftpd	Advanced TFTP client Interactive client for the Trivial File Transfer Protocol (TFTP). Its usage is mainly for testing and debugging the atftp server. A TFTP client is usually implemented in UEFI/BIOS and bootstrap programs like pxelinux when booting from LAN. The atftp client also supports non-interactive invocation for easy use in scripts.	https://www.kali.org/tools/atftp/
atomic-operator	atomic-operator	utils		python3-atomic-operator,atomic-operator	root@kali:~# atomic-operator -h INFO: Showing help with the command 'atomic-operator -- --help'. NAME	https://www.kali.org/tools/atomic-operator/
autopsy	autopsy	forensics	数字取证	autopsy,autopsy	Graphical interface to SleuthKit The Autopsy Forensic Browser is a graphical interface to the command line digital forensic analysis tools in The Sleuth Kit. Together, The Sleuth Kit and Autopsy provide many of the same features as commercial digital forensics tools for the analysis of Windows and UNIX file systems (NTFS, FAT, FFS, EXT2FS, and EXT3FS).	https://www.kali.org/tools/autopsy/
autorecon	autorecon	utils	侦察	autorecon,autorecon	Multi-threaded network reconnaissance tool AutoRecon is a multi-threaded network reconnaissance tool which performs automated enumeration of services. It is intended as a time-saving tool for use in CTFs and other penetration testing environments (e.g. OSCP). It may also be useful in real-world engagements.	https://www.kali.org/tools/autorecon/
axel	axel	utils		axel,axel	Light command line download accelerator Axel tries to accelerate the downloading process by using multiple connections for one file, similar to DownThemAll and other famous programs. It can also use multiple mirrors for one download. Using Axel, you will get files faster from Internet. So, Axel can speed up a download up to 60% (approximately, according to some tests).	https://www.kali.org/tools/axel/
azurehound	azurehound	utils	发现	azurehound,azurehound	BloodHound data collector for Microsoft Azure (program) This package contains the BloodHound data collector for Microsoft Azure.	https://www.kali.org/tools/azurehound/
b374k	b374k	utils		b374k,b374k	Remote management tool This package contains PHP Shell is a useful tool for system or web administrator to do remote management without using cpanel, connecting using ssh, ftp etc. All actions take place within a web browser Features: File manager (view, edit, rename, delete, upload, download, archiver, etc)	https://www.kali.org/tools/b374k/
bed	bed	vulnerability	资源开发	bed,bed	A network protocol fuzzer BED is a program which is designed to check daemons for potential buffer overflows, format strings et. al.	https://www.kali.org/tools/bed/
beef-xss	beef-xss	web	执行	beef-xss,beef-xss,beef-xss-start,beef-xss-stop	Browser Exploitation Framework (BeEF) BeEF is short for The Browser Exploitation Framework. It is a penetration testing tool that focuses on the web browser. Amid growing concerns about web-born attacks against clients, including mobile clients, BeEF allows the professional penetration tester to assess the actual security posture of a target environment by using client-side attack	https://www.kali.org/tools/beef-xss/
berate-ap	berate-ap	utils		berate-ap,berate_ap	Script for orchestrating mana rogue Wi-Fi Access Points This package contains a script for orchestrating mana rogue Wi-Fi Access Points. It can also handle regular hostapd AP and create AP easily.	https://www.kali.org/tools/berate-ap/
bettercap	bettercap	sniffing-spoofing	侦察	bettercap,bettercap	Complete, modular, portable and easily extensible MITM framework The Swiss Army knife for 802.11, BLE, IPv4 and IPv6 networks reconnaissance and MITM attacks. bettercap is a powerful, easily extensible and portable framework written in Go which aims to offer to security researchers, red teamers and reverse engineers an easy to use, all-in-one solution with all the features they	https://www.kali.org/tools/bettercap/
bettercap-ui	bettercap-ui	utils		bettercap-ui	Bettercap’s web UI This package contains the bettercap’s web UI.	https://www.kali.org/tools/bettercap-ui/
bind9	bind9	utils		bind9,arpaname,ddns-confgen,dnssec-importkey,named,named-journalprint,named-nzd2nzf,named-rrchecker,nsec3hash,tsig-keygen,bind9-dev,bind9-dnsutils,delv,dig,dnstap-read,mdig,nslookup,nsupdate,bind9-doc,bind9-host,host,bind9-libs,bind9-utils,dnssec-cds,dnssec-dsfromkey,dnssec-keyfromlabel,dnssec-keygen,dnssec-ksr,dnssec-revoke,dnssec-settime,dnssec-signzone,dnssec-verify,named-checkconf,named-checkzone,named-compilezone,rndc,rndc-confgen	Internet Domain Name Server The Berkeley Internet Name Domain (BIND 9) implements an Internet domain name server. BIND 9 is the most widely-used name server software on the Internet, and is supported by the Internet Software Consortium, www.isc.org .	https://www.kali.org/tools/bind9/
bing-ip2hosts	bing-ip2hosts	utils		bing-ip2hosts,bing-ip2hosts	Enumerate hostnames for an IP using bing.com This package contains a Bing.com web scraper that discovers hostnames by IP address. Bing is the flagship Microsoft search engine formerly known as MSN Search and Live Search. It provides a feature unique to search engines - it allows searching by IP address. Bing-ip2hosts uses this feature.	https://www.kali.org/tools/bing-ip2hosts/
binwalk	binwalk	forensics	数字取证	binwalk,binwalk,python3-binwalk	Tool library for analyzing binary blobs and executable code Binwalk is a tool for searching a given binary image for embedded files and executable code. Specifically, it is designed for identifying files and code embedded inside of firmware images. Binwalk uses the libmagic library, so it is compatible with magic signatures created for the Unix file utility.	https://www.kali.org/tools/binwalk/
binwalk3	binwalk3	forensics	数字取证	binwalk3,binwalk3,librust-binwalk-dev	Tool library for analyzing binary blobs and executable code Binwalk is a tool for identifying, and optionally extracting, files and data that have been embedded inside of other files. While its primary focus is firmware analysis, it supports a wide variety of file and data types. Through entropy analysis, it can even help to identify unknown compression or	https://www.kali.org/tools/binwalk3/
bloodhound	bloodhound	utils	发现	bloodhound,bloodhound,bloodhound-setup,bloodhound-start,bloodhound-stop	Six Degrees of Domain Admin, BloodHound CE This package contains BloodHound Community Edition, a single page Javascript web application. BloodHound uses graph theory to reveal the hidden and often unintended relationships within an Active Directory environment. Attackers can use BloodHound to easily identify highly complex attack paths that would otherwise	https://www.kali.org/tools/bloodhound/
bloodhound-ce-python	bloodhound-ce-python	utils	发现	bloodhound-ce-python,bloodhound-ce-python	Python based ingestor for BloodHound CE This package contains a Python based ingestor for BloodHound CE, based on Impacket. This tool is only compatible with BloodHound CE. For legacy Bloodhound (<= 4.3.1) use bloodhound-python package.	https://www.kali.org/tools/bloodhound-ce-python/
bloodhound.py	bloodhound.py	top10	发现	bloodhound.py,bloodhound-python	Ingestor for BloodHound, based on Impacket (Python 3) This package contains a Python based ingestor for BloodHound, based on Impacket. BloodHound.py currently has the following limitations: * Supports most, but not all BloodHound (SharpHound) features. Primary missing features are GPO local groups and some differences in session	https://www.kali.org/tools/bloodhound.py/
bloodyad	bloodyad	utils	权限提升	bloodyad,bloodyad	Active Directory privilege escalation framework bloodyAD can perform specific LDAP calls to a domain controller in order to perform AD privesc. It supports authentication using cleartext passwords, pass-the-hash, pass-the-ticket or certificates and binds to LDAP services of a domain controller to perform AD privesc. Exchange of sensitive information without LDAPS is supported. It is also	https://www.kali.org/tools/bloodyad/
blue-hydra	blue-hydra	wireless		blue-hydra,blue_hydra,rfkill-reset,test-discovery	Bluetooth device discovery service BlueHydra is a Bluetooth device discovery service built on top of the bluez library. BlueHydra makes use of ubertooth where available and attempts to track both classic and low energy (LE) bluetooth devices over time.	https://www.kali.org/tools/blue-hydra/
bluelog	bluelog	wireless	侦察	bluelog,bluelog	Bluetooth scanner and logger Bluelog is a Bluetooth scanner designed to tell you how many discoverable devices there are in an area as quickly as possible. It is intended to be used as a site survey tool, identifying the number of possible Bluetooth targets there are in the surrounding environment.	https://www.kali.org/tools/bluelog/
blueranger	blueranger	wireless	侦察	blueranger,blueranger	Simple Bash script to locate Bluetooth devices BlueRanger is a simple Bash script which uses Link Quality to locate Bluetooth device radios. It sends l2cap (Bluetooth) pings to create a connection between Bluetooth interfaces, since most devices allow pings without any authentication or	https://www.kali.org/tools/blueranger/
bluesnarfer	bluesnarfer	wireless	侦察	bluesnarfer,bluesnarfer	Bluesnarfing utility A bluetooth bluesnarfing utility	https://www.kali.org/tools/bluesnarfer/
bluez	bluez	wireless		bluetooth,bluez,bluemoon,bluetoothctl,bluetoothd,btattach,btmgmt,btmon,ciptool,gatttool,hciattach,hciconfig,hcitool,hex2hcd,l2ping,l2test,mpris-proxy,obexctl,rctest,rfcomm,sdptool,bluez-cups,bluez-meshd,mesh-cfgclient,mesh-cfgtest,meshctl,bluez-obexd,bluez-source,bluez-test-scripts,bluez-test-tools,6lowpan-tester,b1ee,bnep-tester,btvirt,gap-tester,hci-tester,hfp,ioctl-tester,iso-tester,isotest,l2cap-tester,mesh-tester,mgmt-tester,rfcomm-tester,sco-tester,smp-tester,userchan-tester,libbluetooth-dev,libbluetooth3	bluez Bluetooth tools and daemons This package contains tools and system daemons for using Bluetooth devices. BlueZ is the official Linux Bluetooth protocol stack. It is an Open Source project distributed under GNU General Public License (GPL).	https://www.kali.org/tools/bluez/
bopscrk	bopscrk	utils	凭据访问	bopscrk,bopscrk	Generate smart and powerful wordlists Targeted-attack wordlist creator: introduce personal info related to target, combines every word and transforms results into possible passwords. The lyricpass module allows one to search lyrics related to artists and include them to the wordlists.	https://www.kali.org/tools/bopscrk/
bpf-linker	bpf-linker	utils		bpf-linker,bpf-linker	Simplify building modern BPF programs This package contains bpd-linker which can be used to statically link multiple BPF object files together and optionally perform optimizations needed to target older kernels. It operates on LLVM bitcode, so the inputs must be bitcode files (.bc) or object files with embedded bitcode (.o), optionally stored inside ar archives (.a).	https://www.kali.org/tools/bpf-linker/
braa	braa	information-gathering	发现	braa,braa	Mass SNMP scanner Braa is a mass snmp scanner. The intended usage of such a tool is of course making SNMP queries - but unlike snmpget or snmpwalk from net-snmp, it is able to query dozens or hundreds of hosts simultaneously, and in a single process. Thus, it consumes very few system resources and does the scanning VERY fast. Braa implements its OWN snmp stack, so it does NOT need any SNMP libraries	https://www.kali.org/tools/braa/
bruteforce-luks	bruteforce-luks	utils		bruteforce-luks,bruteforce-luks	Try to find a password of a LUKS encrypted volume The program is used to try discovery a password for encrypted LUKS volume used to security reasons. It works trying decrypt at least one of the key slots by trying all the possible passwords. It is used in forensics and is especially useful if you know something about the password (i.e. you forgot a part of your password but still remember most of it).	https://www.kali.org/tools/bruteforce-luks/
bruteforce-salted-openssl	bruteforce-salted-openssl	utils		bruteforce-salted-openssl,bruteforce-salted-openssl	Try to find the passphrase for files encrypted with OpenSSL bruteforce-salted-openssl try to find the passphrase or password of a file that was encrypted with the openssl command. It can be used in two ways: - Try all possible passwords given a charset. - Try all passwords in a file (dictionary). bruteforce-salted-openssl have the following features:	https://www.kali.org/tools/bruteforce-salted-openssl/
bruteforce-wallet	bruteforce-wallet	utils		bruteforce-wallet,bruteforce-wallet	Try to find the password of an encrypted wallet file bruteforce-wallet try to find the password of an encrypted Peercoin (or Bitcoin, Litecoin, etc…) wallet file. It can be used in two ways: - Try all possible passwords given a charset. - Try all passwords in a file (dictionary).	https://www.kali.org/tools/bruteforce-wallet/
bruteshark	bruteshark	utils		bruteshark,brutesharkcli	Network Forensic Analysis Tool (NFAT) This package contains a Network Forensic Analysis Tool (NFAT) that performs deep processing and inspection of network traffic (mainly PCAP files, but it also capable of directly live capturing from a network interface). It includes: password extracting, building a network map, reconstruct TCP sessions, extract hashes of encrypted passwords and even convert them to a	https://www.kali.org/tools/bruteshark/
brutespray	brutespray	utils		brutespray,brutespray	Bruteforcing from various scanner output Brutespray has been re-written in Golang, eliminating the requirement for additional tools. This enhanced version is more extensive and operates at a significantly faster pace than its Python counterpart. As of now, Brutespray accepts input from Nmap’s GNMAP/XML output, newline-separated JSON files, Nexpose’s XML Export feature, Nessus exports in .nessus format, and various	https://www.kali.org/tools/brutespray/
btscanner	btscanner	wireless	侦察	btscanner,btscanner	Ncurses-based scanner for Bluetooth devices btscanner is a tool designed specifically to extract as much information as possible from a Bluetooth device without the requirement to pair. A detailed information screen extracts HCI and SDP information, and maintains an open connection to monitor the RSSI and link quality. btscanner is based on the BlueZ Bluetooth stack, which is included with	https://www.kali.org/tools/btscanner/
bulk-extractor	bulk-extractor	forensics	数字取证	bulk-extractor,bulk_extractor	Extracts information without parsing filesystem bulk_extractor is a C++ program that scans a disk image, a file, or a directory of files and extracts useful information without parsing the file system or file system structures. The results are stored in feature files that can be easily inspected, parsed, or processed with automated tools. bulk_extractor also creates	https://www.kali.org/tools/bulk-extractor/
bully	bully	wireless	凭据访问	bully,bully	Implementation of the WPS brute force attack, written in C Bully is a new implementation of the WPS brute force attack, written in C. It is conceptually identical to other programs, in that it exploits the (now well known) design flaw in the WPS specification. It has several advantages over the original reaver code. These include fewer dependencies, improved memory and cpu performance, correct handling of endianness, and a more robust set of	https://www.kali.org/tools/bully/
burpsuite	burpsuite	web	侦察	burpsuite,burpsuite	Platform for security testing of web applications Burp Suite is an integrated platform for performing security testing of web applications. Its various tools work seamlessly together to support the entire testing process, from initial mapping and analysis of an application’s attack surface, through to finding and exploiting security vulnerabilities.	https://www.kali.org/tools/burpsuite/
bytecode-viewer	bytecode-viewer	forensics	资源开发	bytecode-viewer,bytecode-viewer	Java 8+ Jar & Android APK Reverse Engineering Suite This package contains Bytecode Viewer (BCV). It is an Advanced Lightweight Java Bytecode Viewer, GUI Java Decompiler, GUI Bytecode Editor, GUI Smali, GUI Baksmali, GUI APK Editor, GUI Dex Editor, GUI APK Decompiler, GUI DEX Decompiler, GUI Procyon Java Decompiler, GUI Krakatau, GUI CFR Java Decompiler, GUI FernFlower Java Decompiler, GUI DEX2Jar, GUI Jar2DEX, GUI	https://www.kali.org/tools/bytecode-viewer/
cabextract	cabextract	forensics		cabextract,cabextract	Microsoft Cabinet file unpacker Cabextract is a program which unpacks cabinet (.cab) files, which are a form of archive Microsoft uses to distribute their software and things like Windows Font Packs.	https://www.kali.org/tools/cabextract/
cadaver	cadaver	web	命令与控制	cadaver,cadaver	Command-line WebDAV client cadaver supports file upload, download, on-screen display, in-place editing, namespace operations (move/copy), collection creation and deletion, property manipulation, and resource locking. Its operation is similar to the standard BSD ftp(1) client and the Samba Project’s smbclient(1).	https://www.kali.org/tools/cadaver/
caido	caido	utils	侦察	caido,caido	Security auditing toolkit (desktop) This package contains caido desktop, a security auditing toolkit.	https://www.kali.org/tools/caido/
caido-cli	caido-cli	utils	侦察	caido-cli,caido-cli	Security auditing toolkit (CLI) This package contains caido CLI, a security auditing toolkit.	https://www.kali.org/tools/caido-cli/
caldera	caldera	utils		caldera,caldera	Scalable Automated Adversary Emulation Platform This package contains a cyber security framework designed to easily automate adversary emulation, assist manual red-teams, and automate incident response.	https://www.kali.org/tools/caldera/
calico	calico	utils		calicoctl,calicoctl	Networking and network security solution for Kubernetes This package contains the command line tool for calico. Calico is a widely adopted, battle-tested open source networking and network security solution for Kubernetes, virtual machines, and bare-metal workloads.	https://www.kali.org/tools/calico/
capstone	capstone	forensics	资源开发	capstone-tool,cstool,libcapstone-dev,libcapstone5,python3-capstone	Lightweight multi-architecture disassembly framework - command line tool Capstone is a lightweight multi-platform, multi-architecture disassembly framework. This package contains cstool, a command-line tool to disassemble hexadecimal strings.	https://www.kali.org/tools/capstone/
ccrypt	ccrypt	crypto-stego	防御规避	ccrypt,ccat,ccdecrypt,ccencrypt,ccguess,ccrypt,elpa-ps-ccrypt	Secure encryption and decryption of files and streams ccrypt is a utility for encrypting and decrypting files and streams. It was designed as a replacement for the standard unix crypt utility, which is notorious for using a very weak encryption algorithm. ccrypt is based on the Rijndael cipher, which is the U.S. government’s chosen candidate for the Advanced Encryption Standard (AES, see	https://www.kali.org/tools/ccrypt/
certgraph	certgraph	utils		certgraph,certgraph	Tool to crawl the graph of certificate Alternate Names This package contains a tool to crawl the graph of certificate Alternate Names. CertGraph crawls SSL certificates creating a directed graph where each domain is a node and the certificate alternative names for that domain’s certificate are the edges to other domain nodes. New domains are printed as they are found. In Detailed mode upon completion the Graph’s adjacency list is	https://www.kali.org/tools/certgraph/
certi	certi	utils		certi,certi	Tool to ask certificates to ADCS and discover templates Certi is an utility to play with ADCS, allows one to request tickets and collect information about related objects. Basically, it’s the impacket copy of Certify.	https://www.kali.org/tools/certi/
certipy-ad	certipy-ad	top10		certipy-ad,certipy-ad	Tool for attacking AD Certificate Services Offensive tool for enumerating and abusing Active Directory Certificate Services (AD CS).	https://www.kali.org/tools/certipy-ad/
cewl	cewl	passwords	凭据访问	cewl,cewl,fab-cewl	Custom word list generator CeWL (Custom Word List generator) is a ruby app which spiders a given URL, up to a specified depth, and returns a list of words which can then be used for password crackers such as John the Ripper. Optionally, CeWL can follow external links. CeWL can also create a list of email addresses found in mailto	https://www.kali.org/tools/cewl/
chainsaw	chainsaw	utils		chainsaw,chainsaw	Rapidly search and hunt through Windows forensic artefacts Chainsaw provides a powerful ‘first-response’ capability to quickly identify threats within Windows forensic artefacts such as Event Logs and the MFT files. Chainsaw offers a generic and fast method of searching through event logs for keywords, and by identifying threats using built-in support for Sigma	https://www.kali.org/tools/chainsaw/
changeme	changeme	utils		changeme,changeme	Default credential scanner This package contains a default credential scanner. Commercial vulnerability scanners miss common default credentials. Getting default credentials added to commercial scanners is often difficult and slow. changeme is designed to be simple to add new credentials without having to write any code or modules. changeme keeps credential data separate from code. All credentials are stored	https://www.kali.org/tools/changeme/
chaosreader	chaosreader	utils		chaosreader,chaosreader	Trace network sessions and export it to html format Chaosreader traces TCP/UDP/others sessions and fetches application data from snoop or tcpdump logs (or other libpcap compatible programs). This is a type of “any-snarf” program, as it will fetch telnet sessions, FTP files, HTTP transfers (HTML, GIF, JPEG etc) and SMTP emails from the captured data inside network traffic logs. A html index file is created to that links to all the	https://www.kali.org/tools/chaosreader/
cherrytree	cherrytree	utils	服务与其它工具	cherrytree,cherrytree	Hierarchical note taking application CherryTree is a hierarchical note taking application, featuring rich text, syntax highlighting, images handling, hyperlinks, import/export with support for multiple formats, support for multiple languages, and more.	https://www.kali.org/tools/cherrytree/
chirp	chirp	wireless	侦察	chirp,chirpc,chirpw,experttune	Configuration tool for amateur radios CHIRP is a free, open-source tool for programming your amateur radio. It supports a large number of manufacturers and models, as well as provides a way to interface with multiple data sources and formats. CHIRP can handle data in the following formats: Comma Separated Values (.csv)	https://www.kali.org/tools/chirp/
chisel	chisel	utils	命令与控制	chisel,chisel	Fast TCP/UDP tunnel over HTTP (program) This package contains a fast TCP/UDP tunnel, transported over HTTP, secured via SSH. Single executable including both client and server. Chisel is mainly useful for passing through firewalls, though it can also be used to provide a secure endpoint into your network.	https://www.kali.org/tools/chisel/
chisel-common-binaries	chisel-common-binaries	utils	命令与控制	chisel-common-binaries,chisel-common-binaries	Prebuilt binaries for chisel This package contains a fast TCP/UDP tunnel, transported over HTTP, secured via SSH. Single executable including both client and server. Chisel is mainly useful for passing through firewalls, though it can also be used to provide a secure endpoint into your network.	https://www.kali.org/tools/chisel-common-binaries/
