slug	name	package_group	attack_category	packages	description	url
pdfcrack	pdfcrack	passwords		pdfcrack,pdfcrack	PDF files password cracker PDFCrack is a simple tool for recovering passwords from pdf-documents. It should be able to handle all pdfs that uses the standard security handler but the pdf-parsing routines are a bit of a quick hack so you might stumble across some pdfs where the parser needs to be fixed to handle. The main PDFCrack features are:	https://www.kali.org/tools/pdfcrack/
pdfid	pdfid	forensics	数字取证	pdfid,pdfid	Scans PDF files for certain PDF keywords This tool is not a PDF parser, but it will scan a file to look for certain PDF keywords, allowing you to identify PDF documents that contain (for example) JavaScript or execute an action when opened. PDFiD will also handle name obfuscation.	https://www.kali.org/tools/pdfid/
peass-ng	peass-ng	vulnerability	权限提升	peass,linpeas,peass,winpeas	Privilege Escalation Awesome Scripts SUITE Privilege escalation tools for Windows and Linux/Unix* and MacOS. These tools search for possible local privilege escalation paths that you could exploit and print them to you with nice colors so you can recognize the misconfigurations easily.	https://www.kali.org/tools/peass-ng/
peirates	peirates	utils		peirates,peirates	Kubernetes Penetration Testing tool This package contains a Kubernetes penetration tool, enables an attacker to escalate privilege and pivot through a Kubernetes cluster. It automates known techniques to steal and collect service accounts, obtain further code execution, and gain control of the cluster.	https://www.kali.org/tools/peirates/
penelope	penelope	utils	命令与控制	penelope,penelope	Advanced shell handler for penetration testing and CTFs Penelope is a modern shell handler designed for penetration testers and CTF players. It provides a highly capable alternative to basic netcat listeners, streamlining reverse and bind shell management during post-exploitation. It operates entirely using the Python standard library, requiring no external dependencies.	https://www.kali.org/tools/penelope/
perl-cisco-copyconfig	perl-cisco-copyconfig	vulnerability		perl-cisco-copyconfig	Provides methods for manipulating Cisco devices Cisco::CopyConfig provides methods for manipulating the running-config of Cisco devices running IOS via SNMP directed TFTP. This is handy for making changes or backups on many devices without having to log into each device or write messy expect type scripts that need constant tweaking.	https://www.kali.org/tools/perl-cisco-copyconfig/
phishery	phishery	utils		phishery,phishery	Basic Auth Credential Harvester with Word Doc Template Injector This package contains a Simple SSL Enabled HTTP server with the primary purpose of phishing credentials via Basic Authentication. The power of phishery is best demonstrated by setting a Word document’s template to a phishery URL. This causes Microsoft Word to make a request to the URL, resulting in an Authentication Dialog being shown to the end-user. The	https://www.kali.org/tools/phishery/
photon	photon	utils	侦察	photon,photon	Incredibly fast crawler designed for open source intelligence This package includes a fast and flexible crawler designed for open source intelligence (OSINT). Photon can extract the following data while crawling: URLs (in-scope & out-of-scope) URLs with parameters (example.com/gallery.php?id=2)	https://www.kali.org/tools/photon/
php-defaults	php-defaults	web		libapache2-mod-php,libphp-embed,php,php-all-dev,php-bcmath,php-bz2,php-cgi,php-cgi.default,php-cli,phar.default,phar.phar.default,php.default,php-common,phpdismod,phpenmod,phpquery,php-curl,php-dev,php-config.default,phpize.default,php-enchant,php-fpm,php-gd,php-gmp,php-interbase,php-intl,php-json,php-ldap,php-mbstring,php-mysql,php-odbc,php-pgsql,php-phpdbg,phpdbg.default,php-readline,php-snmp,php-soap,php-sqlite3,php-sybase,php-tidy,php-xml,php-zip	Server-side, HTML-embedded scripting language (Apache 2 module) (default) This package provides the PHP module for the Apache 2 webserver. PHP (recursive acronym for PHP: Hypertext Preprocessor) is a widely-used open source general-purpose scripting language that is especially suited for web development and can be embedded into HTML. This package is a dependency package, which depends on latest stable	https://www.kali.org/tools/php-defaults/
phpggc	phpggc	utils	持久化	phpggc,phpggc	Generate payloads that exploit unsafe object deserialization PHPGGC is a library of payloads exploiting unsafe object deserialization. It also provides a command-line tool to generate them.	https://www.kali.org/tools/phpggc/
phpsploit	phpsploit	utils		phpsploit,phpsploit	Stealth post-exploitation framework This package contains a remote control framework, aiming to provide a stealth interactive shell-like connection over HTTP between client and web server. It is a post-exploitation tool capable to maintain access to a compromised web server for privilege escalation purposes.	https://www.kali.org/tools/phpsploit/
pipal	pipal	passwords	服务与其它工具	pipal,pipal	Statistical analysis on password dumps All this tool does is to give you the stats and the information to help you analyse the passwords. The real work is done by you in interpreting the results.	https://www.kali.org/tools/pipal/
pixiewps	pixiewps	wireless	凭据访问	pixiewps,pixiewps	Offline WPS bruteforce tool Pixiewps is a tool written in C used to bruteforce offline the WPS pin exploiting the low or non-existing entropy of some APs (pixie dust attack). It is meant for educational purposes only.	https://www.kali.org/tools/pixiewps/
plaso	plaso	forensics		plaso,python3-plaso,plaso-image_export,plaso-log2timeline,plaso-pinfo,plaso-psort,plaso-psteal	Super timeline all the things – metapackage This is a metapackage that depends on the Python 3 package of the Plaso libraries and scripts.	https://www.kali.org/tools/plaso/
plocate	plocate	utils		plocate,plocate,plocate-build,updatedb.plocate	Much faster locate plocate is a locate(1) based on posting lists, giving much faster searches on a much smaller index. It is a drop-in replacement for mlocate in nearly all aspects, and is fast on SSDs and non-SSDs alike.	https://www.kali.org/tools/plocate/
pnscan	pnscan	utils		pnscan,pnscan,t_listen	Multi threaded port scanner Pnscan is a multi threaded port scanner that can scan a large network very quickly. If does not have all the features that nmap have but is much faster.	https://www.kali.org/tools/pnscan/
pocsuite3	pocsuite3	utils		pocsuite3,poc-console,pocsuite	Open-sourced remote vulnerability testing framework Pocsuite3 is an open-sourced remote vulnerability testing and proof-of-concept development framework developed by the Knownsec 404 Team. It comes with a powerful proof-of-concept engine, many nice features for the ultimate penetration testers and security researchers.	https://www.kali.org/tools/pocsuite3/
polenum	polenum	information-gathering		polenum,polenum	Extracts the password policy from a Windows system polenum is a Python script which uses the Impacket Library from CORE Security Technologies to extract the password policy information from a windows machine. This allows a non-windows (Linux, Mac OSX, BSD etc..) user to query the password policy of a remote windows box without the need to have access to a windows machine.	https://www.kali.org/tools/polenum/
pompem	pompem	utils	资源开发	pompem,pompem	Exploit and Vulnerability Finder Find exploit with a system of advanced search, designed to automate the search for Exploits and Vulnerability in the most important databases facilitating the work of pentesters, ethical hackers and forensics expert. Performs searches in databases: PacketStorm security, CXSecurity, ZeroDay, Vulners, National Vulnerability Database, WPScan Vulnerability Database. This tool is essential	https://www.kali.org/tools/pompem/
portspoof	portspoof	utils	服务与其它工具	portspoof,portspoof,portspoof-start,portspoof-stop	Enhance OS security through a set of techniques This package contains a service to enhance OS security through a set of following techniques: * All 65535 TCP ports are always open Instead of informing an attacker that a particular port is in a CLOSED or FILTERED state Portspoof will return SYN+ACK for every port connection	https://www.kali.org/tools/portspoof/
poshc2	poshc2	utils		poshc2	Proxy aware C2 framework This package contains a proxy aware C2 framework used to aid penetration testers with red teaming, post-exploitation and lateral movement. PoshC2 is primarily written in Python3 and follows a modular format to enable users to add their own modules and tools, allowing an extendible and flexible C2 framework. Out-of-the-box PoshC2 comes PowerShell/C# and Python3 implants	https://www.kali.org/tools/poshc2/
powercat	powercat	windows-resources	命令与控制	powercat,powercat	Netcat features all in powershell v2 This package contains a netcat powershell version. It’s a simple utility which reads and writes data across network connections using DNS or UDP protocol.	https://www.kali.org/tools/powercat/
powershell	powershell	utils	服务与其它工具	powershell,pwsh,pwsh	PowerShell is an automation and configuration management platform. It consists of a cross-platform command-line shell and associated scripting language.	https://www.kali.org/tools/powershell/
